,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
10,95,39,72,13,6,51,56,82,47,20,94,19,91,46,37,19,44,52,57,83,62,66,34,51,23,88,11,79,88,84,88,20,62,74,8,87,11,15,45,25,77,51,79,93,19,16,14,86,56,43,2,26,48,16,77,16,73,94,66,0,20,5,80,65,32,94,72,17,30,3,89,40,17,49,31,63,90,38,50,37,87,84,71,57,62,51,60,37,14,26,23,10,90,27,16,34,44,92,39,99,53,58,28,8,17,67,98,50,90,76,61,90,67,93,83,97,95,84,31,8,71,42,92,45,29,62,23,77,22,9,21,32,77,44,10,61,25,63,2,22,70,50,77,21,1,3,28,71,13,68,38,64,91,6,54,50,47,70,30,49,20,7,8,28,20,9,91,10,34,2,93,65,38,69,29,27,37,47,58,43,64,84,54,6,71,99,1,52,19,98,48,41,89,37,11,17,85,72,56,57,40,52,50,61,19,77,55,89,95,87,90,7,71,87,17,57,88,28,47,4,11,13,64,50,68,74,98,34,90,68,80,2,74,24,9,2,95,5,14,15,78,38,23,23,63,42,46,42,96,49,1,48,71,45,92,28,78,46,91,10,94,12,30,33,29,28,56,0,76,23,42,87,95,27,24,51,17,11,9,13,8,50,82,64,79,5,6,86,55,4,70,40,64,18,46,72,73,10,99,1,88,46,59,99,11,24,96,94,86,5,90,80,49,1,97,87,30,96,92,69,97,73,29,93,30,79,56,18,30,47,48,34,89,95,92,44,77,38,1,29,64,54,50,37,55,10,12,39,90,29,86,79,33,36,89,8,29,1,80,12,47,0,27,22,58,51,60,95,66,90,78,94,38,20,20,69,54,40,54,53,10,81,85,21,55,99,9,65,83,6,82,97,38,8,36,9,8,60,29,63
11,98,17,19,53,81,57,59,63,78,17,58,87,89,44,49,72,60,10,51,38,51,4,76,48,38,16,29,86,63,41,78,64,44,97,31,76,34,9,78,99,61,94,68,89,75,12,20,50,28,11,87,95,1,51,39,33,4,75,0,11,41,0,8,28,69,24,80,47,57,9,96,75,99,41,28,60,50,59,37,95,75,93,91,46,70,16,13,47,45,69,50,45,47,33,99,27,96,82,2,37,95,64,11,35,10,72,59,91,48,28,45,57,95,83,54,64,26,84,84,12,87,15,8,98,87,72,84,33,29,68,54,73,26,52,0,43,82,12,52,55,27,97,81,42,43,45,10,94,27,58,63,72,27,35,9,97,72,11,4,14,61,95,14,83,51,44,42,27,29,45,64,29,62,41,81,75,2,35,75,46,60,97,56,60,95,63,44,19,77,62,5,80,21,95,8,14,36,97,10,80,82,21,77,95,8,73,13,63,13,20,89,21,35,97,76,35,88,31,53,87,45,27,10,34,88,46,79,69,2,59,42,45,49,58,69,72,92,97,54,49,63,24,82,11,34,42,57,40,61,29,21,38,81,84,69,62,85,37,66,67,89,80,26,27,67,94,24,50,45,22,68,70,44,64,24,81,49,98,6,57,19,16,44,2,10,78,88,27,52,54,47,15,67,23,90,22,6,35,91,94,53,52,95,4,35,4,45,95,11,2,57,45,64,59,79,71,14,90,78,65,62,43,40,12,67,99,32,16,73,83,28,47,11,86,6,56,25,94,34,71,33,87,23,0,83,74,91,82,72,10,90,77,96,77,9,9,29,43,6,56,63,61,67,49,19,27,95,9,52,94,92,87,24,11,3,39,64,9,97,28,43,23,84,48,29,77,7,68,71,7,0,51,73,56,30,82,64,77,79,84
12,35,21,46,50,65,94,25,52,48,71,21,31,48,17,84,62,39,79,39,12,85,85,19,39,66,96,8,57,30,63,56,43,18,77,81,62,73,51,77,2,88,28,67,61,92,84,24,23,25,89,94,98,29,67,43,55,37,28,25,4,19,46,0,52,76,88,86,6,86,0,46,25,97,10,7,10,36,39,17,59,54,15,4,65,17,22,47,50,76,76,79,73,84,61,67,2,98,89,95,62,26,47,99,76,63,96,91,67,73,90,39,18,25,44,76,74,53,41,50,23,47,27,96,58,12,72,27,27,11,98,32,37,93,69,65,44,65,73,76,36,29,30,48,94,4,5,67,13,28,25,42,74,50,13,31,12,28,6,96,69,60,64,19,66,19,37,71,88,47,33,22,13,45,29,8,77,3,88,40,66,79,97,55,48,69,70,52,71,27,89,47,92,56,81,70,85,34,62,67,52,44,31,57,99,92,67,30,98,94,0,29,14,53,96,0,79,35,79,58,42,14,88,69,92,36,69,99,74,26,86,83,39,92,45,23,68,75,95,31,1,71,13,48,84,0,49,98,32,1,91,75,78,69,12,84,41,91,17,77,43,16,36,30,16,38,11,18,11,33,40,59,1,88,96,55,94,86,39,91,29,97,50,30,31,84,39,65,10,12,63,6,46,94,47,29,72,93,56,18,72,72,94,75,55,54,46,11,92,55,75,6,87,28,91,27,50,94,21,88,78,32,15,28,72,6,43,75,33,71,62,12,48,57,29,85,35,91,21,2,34,57,0,58,61,14,83,83,80,67,54,11,87,81,99,7,17,32,83,94,9,58,45,2,88,55,3,8,51,27,33,60,86,48,55,10,44,54,39,49,19,95,19,66,51,64,21,1,23,1,60,94,25,24,68,37,10,21,6,39,12
13,28,65,65,80,17,43,0,73,42,91,76,2,39,80,2,64,34,63,39,70,5,94,85,88,66,25,93,44,29,72,66,60,12,3,96,56,68,42,97,92,27,56,17,99,3,87,27,49,40,14,87,99,88,56,5,80,63,12,5,87,3,52,65,75,29,92,95,53,70,51,74,99,48,7,39,10,25,87,63,40,76,41,46,53,73,95,48,23,74,46,97,3,68,11,37,64,90,36,74,94,18,13,87,27,5,53,80,61,80,85,39,93,60,15,14,28,68,11,88,91,91,52,19,58,88,22,10,76,40,86,28,88,27,51,13,67,99,21,14,35,52,77,51,40,31,82,80,55,79,94,68,67,11,13,37,34,58,14,74,44,1,55,64,62,83,57,13,30,44,44,2,58,10,93,89,68,84,62,15,37,24,24,47,97,95,97,2,76,44,23,90,31,59,74,70,58,42,95,91,30,92,84,72,99,0,63,7,11,94,90,15,37,40,36,87,95,80,55,27,76,23,79,33,70,23,58,52,12,40,56,13,98,60,8,14,68,84,93,32,52,92,87,86,15,92,52,70,44,95,42,96,5,50,30,55,23,76,65,87,73,16,9,37,81,11,69,13,92,64,29,8,96,77,59,78,32,63,64,12,71,25,66,75,55,43,80,13,52,2,37,98,77,39,72,82,31,58,6,0,82,2,50,74,40,36,6,72,36,18,37,43,6,33,20,56,73,42,87,19,95,3,71,19,87,90,58,26,92,80,78,95,60,99,46,78,20,46,28,83,11,95,25,17,78,42,88,23,20,70,34,34,90,22,69,14,91,26,64,28,47,89,50,14,16,74,39,46,55,83,53,8,35,92,25,85,30,27,55,13,51,62,65,4,41,57,5,96,1,63,78,40,54,14,72,84,24,24,3,73,78
14,72,87,19,96,55,10,94,20,68,14,25,64,5,67,71,54,39,33,14,27,78,45,30,74,14,23,39,36,55,59,75,97,58,94,78,52,75,54,99,74,90,0,81,72,2,91,30,27,74,60,87,51,89,73,98,99,13,45,95,79,85,52,75,59,69,64,16,18,58,37,49,35,94,41,82,84,35,51,10,51,44,17,82,17,71,8,57,43,52,27,44,63,31,21,32,17,32,28,14,90,17,83,26,41,69,87,97,57,97,87,15,62,8,80,85,48,16,85,10,27,10,87,86,0,47,19,61,15,79,37,32,77,94,29,76,13,45,23,0,91,64,92,24,57,15,83,63,84,82,7,66,69,68,4,87,58,67,42,76,81,90,43,11,69,51,67,53,58,30,34,98,42,88,84,14,83,6,98,78,51,60,33,47,51,31,88,9,14,16,63,92,3,38,86,38,72,27,26,88,77,38,37,29,80,23,57,74,17,39,67,5,27,52,28,2,29,38,9,16,10,62,42,27,83,97,77,27,3,9,67,31,9,55,48,88,58,97,76,23,17,16,35,27,41,53,33,91,11,86,97,59,49,49,34,69,44,60,65,60,17,52,14,50,88,49,88,22,35,62,43,79,70,92,98,57,26,97,21,76,62,24,13,26,20,89,23,49,83,32,44,19,20,92,81,53,22,90,91,56,84,88,50,91,56,61,70,36,45,29,58,77,17,65,84,90,51,70,31,56,60,26,13,28,46,84,55,36,29,30,2,74,11,52,24,4,88,73,95,56,84,30,1,78,5,50,99,62,70,42,20,21,41,69,68,67,24,47,37,87,28,94,45,89,80,39,39,5,0,76,99,89,39,44,28,61,46,24,58,54,79,46,63,32,97,35,77,96,32,12,85,83,49,12,71,77,84,89,27,0,79
15,17,31,73,68,95,99,65,95,50,39,72,44,57,55,81,96,99,37,48,78,27,11,65,36,28,12,93,76,1,97,27,66,12,26,50,12,99,24,70,38,58,67,34,50,92,31,14,72,10,54,28,61,41,59,31,12,48,45,80,6,24,87,58,52,15,0,60,81,74,85,96,62,24,68,82,2,85,55,6,6,84,1,24,20,62,8,52,96,3,51,1,20,91,95,15,85,99,47,82,35,48,28,20,64,81,4,47,62,97,9,43,94,52,25,41,54,1,18,78,32,93,67,59,23,56,23,60,87,54,86,93,14,42,56,8,47,50,47,72,74,63,5,46,59,86,90,31,91,27,38,72,90,58,67,47,9,66,13,26,98,94,98,71,82,41,67,97,59,86,78,43,38,3,7,89,58,82,58,4,44,17,54,95,79,45,88,81,48,22,82,93,71,40,75,60,7,21,64,93,97,83,67,6,19,90,60,55,84,11,83,54,98,65,65,0,54,12,36,7,5,1,64,26,82,67,99,48,55,27,11,66,62,40,10,62,44,10,50,0,34,82,92,38,82,45,71,46,90,31,17,72,15,32,76,36,28,80,12,20,83,95,55,1,45,62,21,51,44,1,77,62,92,17,72,52,56,87,57,27,21,81,41,78,80,63,37,99,99,2,45,65,19,38,79,89,64,68,49,32,7,87,91,64,52,14,35,43,77,29,69,37,46,18,56,66,27,83,37,26,39,24,71,57,90,30,45,67,70,79,19,91,93,50,36,88,82,53,65,56,88,70,71,42,15,68,87,72,54,61,58,67,28,15,45,75,2,3,51,25,86,23,75,65,71,50,50,65,35,36,67,32,26,68,52,54,13,64,21,58,21,6,21,92,7,94,21,21,4,9,96,35,66,97,95,58,31,48,66,36,83
16,83,57,32,46,34,71,93,51,71,28,64,71,85,12,95,18,84,38,30,40,25,71,38,81,99,31,47,54,44,81,8,91,9,94,5,16,45,61,21,10,76,91,15,87,48,80,29,81,4,84,31,76,33,71,74,21,86,15,68,68,84,9,24,68,39,75,75,84,28,94,95,99,37,85,32,2,75,42,69,90,46,29,1,99,55,83,96,49,71,19,87,81,92,94,62,13,33,88,91,54,39,54,8,33,0,63,0,89,58,9,59,91,29,96,97,26,45,10,35,46,33,11,31,30,90,21,65,64,70,11,19,43,80,81,97,62,93,41,6,1,41,65,13,68,50,66,85,37,61,64,44,53,55,27,77,56,25,66,65,93,7,33,25,3,75,56,80,14,92,85,33,71,7,92,92,50,6,68,3,75,52,45,6,75,94,91,10,36,80,56,0,97,92,96,58,27,85,30,22,8,68,26,82,83,6,92,35,92,20,0,72,29,39,63,83,69,83,4,50,60,77,33,75,22,69,92,70,25,37,52,46,85,34,13,91,14,52,92,79,21,42,35,57,92,26,8,88,7,11,86,41,52,5,0,43,74,89,19,86,79,90,47,65,66,65,68,78,90,99,27,20,42,62,90,85,43,20,89,28,31,32,62,84,66,3,40,15,11,41,50,79,18,25,67,1,33,39,45,62,32,31,23,82,72,14,63,24,23,1,48,45,52,76,70,38,90,95,44,17,49,31,76,76,16,82,6,32,37,48,98,3,13,41,25,87,20,95,35,59,5,75,69,42,81,11,5,41,29,67,4,55,66,46,12,19,52,23,63,11,24,94,9,61,33,19,2,34,47,44,12,37,76,51,37,51,77,74,38,70,58,79,39,31,63,47,9,35,8,25,82,26,32,50,44,82,47,45,38,8,53
17,48,55,97,86,30,16,76,45,89,12,79,41,5,41,32,70,83,4,66,98,18,97,16,41,1,78,1,84,73,56,1,68,12,44,18,48,2,16,71,93,60,13,95,17,70,27,68,76,48,64,84,39,91,48,33,31,86,38,58,20,73,32,35,58,10,82,41,37,21,72,62,42,96,94,76,79,68,74,47,87,52,38,26,26,55,35,19,91,26,24,89,14,8,42,77,22,88,64,56,64,95,25,31,22,20,25,76,48,64,4,85,80,14,55,36,93,5,79,17,55,31,83,24,47,63,18,73,63,99,23,52,66,91,17,71,63,17,60,16,5,70,61,73,26,4,5,1,30,17,17,32,54,18,75,47,43,72,28,73,70,38,33,15,2,68,73,51,35,53,89,50,68,46,1,73,17,70,65,4,14,19,5,30,86,51,14,73,17,4,60,38,8,86,9,66,32,99,31,85,12,97,85,94,52,14,27,53,93,8,89,61,36,71,39,32,48,26,34,75,82,70,3,6,40,66,41,69,14,66,83,30,46,29,34,15,36,17,24,35,87,43,1,98,9,93,67,45,8,41,83,95,46,48,53,20,5,34,2,14,19,82,60,74,86,38,70,90,53,65,18,5,68,85,18,90,4,64,51,61,54,38,34,72,21,25,30,84,79,88,59,50,26,67,7,71,76,51,0,7,76,83,70,4,92,79,63,50,61,49,86,77,27,30,63,4,30,4,84,79,12,30,36,85,76,7,37,6,54,70,10,68,76,67,28,12,44,36,82,50,24,46,45,48,26,78,39,18,22,94,12,46,59,64,86,87,83,64,71,51,11,79,83,67,80,27,89,34,93,30,31,98,69,50,18,38,36,69,74,65,28,52,32,71,47,45,48,69,21,21,15,3,94,68,60,15,65,29,10,21,60
18,34,2,35,95,54,9,72,14,76,40,38,67,82,55,64,32,16,63,63,52,32,68,41,27,71,85,76,51,28,85,39,76,82,62,28,87,47,80,80,5,13,61,3,79,19,27,86,22,61,82,77,55,79,20,52,91,68,52,76,50,37,30,66,88,91,80,91,59,45,1,89,78,92,30,60,55,54,14,60,88,19,59,20,2,75,43,1,83,55,10,45,50,59,43,36,73,56,1,74,42,25,66,98,95,49,21,72,5,27,86,54,77,73,27,52,86,78,65,34,82,93,63,84,44,61,49,66,27,68,48,26,1,19,32,18,88,64,9,56,82,64,13,67,72,85,53,55,71,27,35,93,36,61,70,38,10,51,25,79,21,76,34,62,51,96,77,14,63,28,91,34,40,12,22,43,46,27,71,86,43,84,70,13,15,85,80,55,60,44,58,99,22,51,71,35,46,95,21,22,69,93,88,26,30,12,25,94,74,20,2,58,14,27,73,37,18,95,33,51,77,8,94,97,92,72,36,72,68,8,53,9,49,17,53,31,16,74,3,81,52,90,42,1,71,0,65,29,79,32,1,48,71,29,93,46,14,49,93,73,98,29,33,7,62,69,17,36,86,61,70,46,25,1,37,45,74,11,70,53,22,93,86,3,9,21,83,19,78,30,0,89,7,84,13,91,40,45,29,49,0,7,68,49,11,84,36,28,64,63,48,32,24,57,31,97,46,53,95,3,71,72,87,1,32,14,75,64,66,13,15,70,41,56,42,65,20,52,56,42,33,57,41,97,48,58,96,48,73,8,72,96,77,4,21,68,72,91,21,21,93,69,31,28,89,7,37,21,86,54,87,99,98,41,23,38,94,91,5,96,97,15,4,67,78,73,77,91,85,68,65,55,49,51,47,80,96,29,64,61,46
19,0,9,82,5,93,63,43,33,83,51,96,1,95,68,71,99,93,9,99,74,19,79,34,37,88,63,79,22,43,67,94,21,25,71,21,44,44,94,31,71,7,98,92,49,27,10,49,99,66,96,35,19,18,78,69,62,66,24,38,66,26,29,13,77,0,5,29,15,52,26,60,61,44,62,42,0,23,98,9,58,73,92,87,41,56,86,50,2,35,93,31,98,35,85,88,20,47,73,2,73,63,66,80,74,4,82,75,35,94,11,26,91,80,44,60,53,57,94,15,59,91,96,70,0,71,86,7,69,24,89,38,59,4,57,99,56,76,87,37,94,78,4,62,71,20,86,11,79,41,45,25,28,19,27,17,16,1,8,38,25,60,58,11,26,43,13,21,86,25,38,21,22,89,73,7,18,95,73,3,29,10,42,78,53,41,85,55,59,49,76,26,0,77,84,66,77,77,54,76,25,67,81,67,39,62,5,54,77,77,68,25,61,66,54,86,66,39,36,52,80,75,99,92,17,3,70,81,6,66,11,43,70,61,85,21,48,38,12,61,53,31,46,28,48,83,43,28,75,5,81,45,36,62,85,57,72,3,79,10,30,45,99,27,64,10,37,14,28,50,55,37,0,33,35,89,80,21,7,45,40,16,59,66,72,33,87,77,87,56,83,38,35,18,5,28,23,73,17,48,43,53,79,33,98,7,19,74,29,38,40,17,20,4,34,99,59,30,36,82,89,42,52,66,43,25,63,70,4,40,58,33,13,25,18,8,14,17,89,94,87,68,3,47,49,17,85,96,54,84,10,90,79,64,64,90,71,28,83,68,84,66,42,72,64,54,45,4,28,5,84,92,61,24,37,44,40,41,22,18,79,97,30,79,82,65,13,56,16,6,27,64,92,45,15,41,2,62,63,57,77
20,17,0,16,65,95,60,22,88,70,48,89,34,59,67,73,44,25,39,33,22,79,18,24,45,24,99,54,51,50,31,3,76,13,75,30,86,32,26,33,90,83,71,61,21,86,16,98,74,86,3,17,26,37,4,86,0,41,66,77,90,56,49,55,19,33,47,77,82,34,7,47,74,66,57,55,90,53,39,6,89,96,14,61,30,83,91,42,56,75,35,7,99,5,72,83,68,12,40,75,61,2,57,37,44,18,22,37,1,76,26,76,74,91,70,87,19,74,53,38,42,14,88,29,1,24,31,3,58,50,98,66,65,58,42,62,39,60,79,64,16,23,2,71,76,53,21,36,43,43,17,64,64,21,8,26,45,31,61,67,74,98,33,36,65,52,8,27,87,49,28,28,65,90,99,1,33,92,40,42,81,90,37,73,78,93,41,44,43,8,75,96,7,68,61,51,10,20,4,82,15,18,54,30,98,62,8,57,58,89,10,46,7,17,38,49,86,95,87,57,36,21,94,4,89,58,3,34,10,43,78,9,46,35,50,27,14,20,52,88,82,83,33,87,39,6,14,42,65,58,84,33,80,34,76,22,44,82,70,25,47,51,46,42,0,35,54,61,18,57,8,17,26,90,83,59,41,43,51,85,7,77,44,73,39,72,69,16,95,54,70,35,73,78,86,38,2,5,24,20,53,6,42,51,47,75,77,80,52,83,61,21,59,5,60,96,20,78,59,1,28,94,17,88,0,29,91,20,0,96,96,16,93,84,48,76,33,15,16,57,19,28,37,45,94,2,72,77,0,64,58,30,4,89,65,13,31,95,36,33,36,45,0,92,81,32,70,12,76,49,90,40,70,51,70,34,28,87,69,65,16,58,77,23,66,88,47,67,43,44,36,14,44,63,28,47,50,60,48,92,13
21,2,99,16,4,14,35,85,97,22,48,47,71,93,77,88,93,13,54,71,66,11,19,16,26,61,41,94,55,77,30,83,1,95,0,42,15,27,21,62,22,66,72,81,29,70,7,82,82,40,63,83,77,49,26,74,73,37,69,88,6,54,41,22,17,88,60,88,55,2,20,49,80,71,83,27,95,19,62,73,6,13,39,39,27,52,89,35,43,46,66,96,35,44,49,92,49,56,0,81,69,30,62,82,18,1,20,63,48,29,0,92,20,21,19,3,84,47,51,7,66,58,88,47,57,91,94,19,59,72,14,62,8,46,8,31,84,24,19,94,67,46,2,3,59,19,69,43,61,99,85,20,79,22,4,47,95,26,36,89,11,27,4,39,41,25,38,72,12,82,45,82,91,79,76,22,55,75,88,27,28,21,21,12,31,20,86,80,47,62,76,64,29,11,41,83,67,34,43,68,31,7,39,38,25,37,94,84,45,48,40,17,78,54,11,98,40,39,96,65,39,75,63,33,43,4,99,19,37,88,95,87,54,36,16,97,95,28,54,44,34,76,42,16,82,46,61,20,31,65,79,40,77,25,85,1,2,59,5,96,59,28,44,93,77,92,30,0,77,66,4,32,7,94,36,20,71,89,33,75,1,79,79,19,42,92,75,13,84,57,24,69,78,60,39,94,25,73,38,65,1,74,61,53,78,87,75,69,53,5,12,10,0,88,37,56,30,51,31,26,14,96,79,9,15,19,34,69,16,61,40,29,85,99,1,14,6,58,74,99,27,28,71,70,70,69,19,51,66,19,65,72,6,22,93,19,81,92,93,89,15,30,17,61,95,4,87,45,88,74,74,77,27,10,36,95,91,51,98,59,36,84,95,11,26,18,45,49,15,24,26,12,23,0,1,94,97,28,3,79,24
22,90,37,69,26,42,90,73,89,34,39,4,47,37,76,29,62,91,59,35,87,88,77,93,36,91,18,57,89,73,90,22,60,60,69,11,60,45,54,25,7,86,55,49,15,45,59,77,16,51,71,4,75,91,86,0,87,75,65,24,59,16,4,62,99,5,70,94,5,49,20,54,63,56,67,99,73,10,4,30,95,99,81,61,23,72,67,11,54,62,24,46,18,64,36,24,15,22,64,30,16,59,94,32,19,69,41,72,62,41,38,67,84,91,58,92,50,50,13,90,92,93,55,5,82,0,82,80,96,65,83,25,8,54,27,37,21,19,57,50,27,98,13,75,49,58,63,81,99,76,76,37,47,27,51,30,39,89,26,6,48,87,90,92,21,59,6,51,60,15,87,4,67,30,44,34,57,35,75,56,96,25,85,29,67,39,3,68,37,76,57,82,41,49,94,34,78,74,4,67,13,9,60,95,50,15,75,66,67,61,99,74,46,60,5,88,89,55,37,81,54,9,35,97,64,74,69,92,51,95,51,86,78,35,26,84,61,18,87,0,3,21,53,22,5,40,21,98,1,15,59,46,42,36,54,77,86,74,76,39,91,60,36,67,98,74,90,61,58,77,88,75,65,1,47,73,3,55,89,76,20,18,7,60,15,26,76,73,48,76,16,71,86,81,69,97,78,70,95,12,93,25,80,46,2,89,73,39,1,19,86,48,43,90,78,36,32,44,70,37,95,80,55,7,31,63,24,86,34,84,9,3,48,91,91,11,87,77,43,0,99,95,49,10,39,99,21,51,73,72,29,59,97,77,56,1,32,0,4,84,97,20,84,50,5,35,74,78,0,56,87,98,78,58,79,84,4,24,79,64,54,94,42,7,54,93,63,19,85,95,20,11,32,94,45,49,52,76,76,74,52
23,45,63,89,32,45,85,83,73,62,67,82,4,18,14,0,15,58,80,20,34,13,53,42,88,94,86,21,57,7,86,93,79,43,21,97,34,40,2,61,91,0,55,99,0,56,87,77,55,46,48,79,66,7,80,72,24,56,48,71,51,1,58,69,29,69,87,8,51,64,39,59,29,40,60,78,73,51,81,99,8,44,93,59,32,37,81,49,75,54,97,76,15,0,3,11,84,79,12,45,61,77,34,81,13,15,16,76,88,4,23,45,14,49,21,56,33,47,46,39,33,99,74,86,68,62,73,34,76,84,99,13,72,25,63,10,57,1,59,40,65,57,44,19,75,16,66,36,28,71,72,70,19,71,93,12,74,86,87,32,5,18,77,57,48,46,68,95,19,45,99,8,8,32,81,54,22,52,80,20,24,15,19,26,93,90,59,40,89,24,10,19,27,35,74,14,69,39,17,50,33,70,34,47,34,72,24,43,60,38,74,38,39,45,71,43,7,52,59,53,22,50,51,0,71,11,22,76,34,58,32,43,88,55,2,55,94,56,96,33,99,15,14,60,66,65,64,70,84,38,85,50,31,51,72,57,7,50,41,87,32,38,71,26,91,91,14,84,95,74,15,46,41,40,59,21,25,32,63,2,58,42,94,20,24,55,24,36,61,12,43,83,57,75,4,34,48,54,72,21,6,11,71,15,53,76,45,29,56,27,27,54,63,7,30,11,30,46,23,85,95,88,44,97,42,24,4,11,57,9,97,50,61,86,71,44,78,4,8,53,76,49,96,45,98,66,97,49,7,26,16,52,95,71,17,90,6,26,7,36,61,73,94,42,33,92,14,67,64,17,29,90,87,49,81,68,36,85,30,86,51,36,35,73,57,61,83,92,90,31,28,25,51,73,5,10,34,94,0,10,96
24,97,97,56,51,45,99,63,96,54,22,31,98,24,49,4,78,20,32,44,33,85,70,33,37,89,63,96,94,37,51,96,14,68,76,91,31,36,19,72,23,76,34,23,20,73,44,55,80,10,46,97,48,23,8,78,99,47,3,51,32,14,81,96,47,60,28,9,98,55,81,85,34,50,35,91,49,51,35,81,22,63,78,71,70,26,45,21,77,58,66,18,84,45,76,6,26,52,4,20,72,71,1,67,78,62,41,28,60,38,39,48,1,30,34,42,56,57,90,73,58,48,40,70,7,45,86,46,84,50,33,55,43,25,75,12,40,78,80,84,55,32,56,77,93,69,23,83,97,10,49,27,9,67,56,46,44,31,96,59,10,7,76,10,4,66,14,39,41,34,8,77,1,82,31,30,35,38,90,20,39,96,83,81,30,5,4,59,70,38,8,63,88,14,36,62,4,6,24,41,96,96,91,58,27,41,95,75,76,99,28,15,99,71,42,28,6,93,49,41,41,74,38,40,26,76,73,59,17,51,74,76,17,36,76,84,47,25,60,92,4,43,92,65,43,82,58,19,61,47,28,8,61,50,83,15,12,94,76,82,45,99,60,42,54,74,21,44,40,17,35,9,80,80,93,74,77,31,76,80,51,86,39,96,97,50,85,99,33,36,17,55,68,77,54,90,39,5,67,1,25,65,38,88,64,17,75,15,85,37,80,13,86,99,29,57,81,31,70,96,55,65,19,21,44,17,21,60,98,89,91,70,72,78,64,20,20,85,4,68,65,67,19,26,37,37,34,6,4,49,28,17,34,65,97,39,52,94,33,90,24,49,80,5,95,69,50,33,2,47,31,5,19,11,25,21,88,42,43,77,90,46,39,77,16,47,58,44,51,29,83,27,52,63,79,38,28,0,84,29,6
25,58,55,80,71,1,52,23,75,98,16,3,30,80,36,19,7,61,78,34,97,47,73,83,6,19,64,2,29,80,23,3,23,78,62,66,61,58,18,46,78,29,34,51,29,16,66,59,40,77,26,11,57,94,94,3,79,77,79,13,16,93,61,94,17,29,55,67,31,4,29,71,44,25,7,57,69,98,40,87,21,33,38,71,80,52,63,68,59,43,47,64,56,33,96,94,44,39,74,30,28,31,63,63,38,98,26,17,3,81,59,26,75,68,21,3,44,3,8,35,22,37,40,83,31,54,84,93,32,92,31,94,50,77,44,87,59,92,88,59,25,18,15,8,28,3,88,68,25,98,89,77,18,29,77,58,54,22,84,34,28,54,68,6,27,23,73,88,45,14,51,89,46,52,48,62,67,79,43,78,9,83,29,39,77,67,93,30,45,36,65,49,76,62,83,32,61,95,71,19,9,44,83,54,53,12,99,73,60,14,52,88,14,82,66,43,22,97,38,65,50,35,37,73,93,51,16,30,79,22,63,21,2,35,35,77,43,33,60,44,78,7,97,46,11,60,51,41,68,80,74,4,14,64,22,21,19,17,69,64,50,81,24,86,61,10,42,5,71,75,53,11,63,89,44,55,72,76,20,54,64,9,11,18,67,93,89,86,49,86,33,40,4,63,70,43,9,38,49,72,31,63,52,92,11,51,19,39,17,16,87,72,26,74,14,90,10,68,1,64,17,96,8,57,85,68,52,52,90,28,88,9,34,7,13,46,82,75,56,55,38,80,33,70,43,56,98,54,14,26,97,34,13,4,90,88,83,63,9,20,2,26,56,72,93,91,9,49,37,43,44,54,32,63,60,21,16,34,74,73,9,67,38,25,67,12,33,27,13,13,37,90,51,90,62,14,71,96,25,19,26
